H,NEL,NI,TA
24300.0,2.42991e+008,2.42991e+008,1.22540e+006
24350.0,2.42527e+008,2.42527e+008,1.22621e+006
24400.0,2.42063e+008,2.42063e+008,1.22703e+006
24450.0,2.41599e+008,2.41599e+008,1.22784e+006
24500.0,2.41135e+008,2.41135e+008,1.22865e+006
24550.0,2.40671e+008,2.40671e+008,1.22947e+006
24600.0,2.40207e+008,2.40207e+008,1.23028e+006
24650.0,2.39743e+008,2.39743e+008,1.23110e+006
24700.0,2.39279e+008,2.39279e+008,1.23191e+006
24750.0,2.38815e+008,2.38815e+008,1.23272e+006
24800.0,2.38351e+008,2.38351e+008,1.23354e+006
24850.0,2.37887e+008,2.37887e+008,1.23435e+006
24900.0,2.37423e+008,2.37423e+008,1.23516e+006
24950.0,2.36959e+008,2.36959e+008,1.23598e+006
25000.0,2.36495e+008,2.36495e+008,1.23679e+006
25050.0,2.36031e+008,2.36031e+008,1.23761e+006
25100.0,2.35567e+008,2.35567e+008,1.23842e+006
25150.0,2.35102e+008,2.35102e+008,1.23923e+006
25200.0,2.34638e+008,2.34638e+008,1.24005e+006
25250.0,2.34174e+008,2.34174e+008,1.24086e+006
25300.0,2.33710e+008,2.33710e+008,1.24167e+006
25350.0,2.33246e+008,2.33246e+008,1.24249e+006
25400.0,2.32782e+008,2.32782e+008,1.24330e+006
25450.0,2.32318e+008,2.32318e+008,1.24412e+006
25500.0,2.31854e+008,2.31854e+008,1.24493e+006
25550.0,2.31390e+008,2.31390e+008,1.24574e+006
25600.0,2.30926e+008,2.30926e+008,1.24656e+006
25650.0,2.30462e+008,2.30462e+008,1.24737e+006
25700.0,2.29998e+008,2.29998e+008,1.24818e+006
25750.0,2.29534e+008,2.29534e+008,1.24900e+006
25800.0,2.29070e+008,2.29070e+008,1.24981e+006
25850.0,2.28606e+008,2.28606e+008,1.25063e+006
25900.0,2.28142e+008,2.28142e+008,1.25144e+006
25950.0,2.27678e+008,2.27678e+008,1.25225e+006
26000.0,2.27214e+008,2.27214e+008,1.25307e+006
26050.0,2.26749e+008,2.26749e+008,1.25388e+006
26100.0,2.26285e+008,2.26285e+008,1.25469e+006
26150.0,2.25821e+008,2.25821e+008,1.25551e+006
26200.0,2.25357e+008,2.25357e+008,1.25632e+006
26250.0,2.24893e+008,2.24893e+008,1.25714e+006
26300.0,2.24429e+008,2.24429e+008,1.25795e+006
26350.0,2.23965e+008,2.23965e+008,1.25876e+006
26400.0,2.23658e+008,2.23658e+008,1.25946e+006
26450.0,2.23389e+008,2.23389e+008,1.26013e+006
26500.0,2.23121e+008,2.23121e+008,1.26080e+006
26550.0,2.22852e+008,2.22852e+008,1.26147e+006
26600.0,2.22584e+008,2.22584e+008,1.26213e+006
26650.0,2.22315e+008,2.22315e+008,1.26280e+006
26700.0,2.22047e+008,2.22047e+008,1.26347e+006
26750.0,2.21778e+008,2.21778e+008,1.26414e+006
26800.0,2.21510e+008,2.21510e+008,1.26481e+006
26850.0,2.21241e+008,2.21241e+008,1.26548e+006
26900.0,2.20973e+008,2.20973e+008,1.26614e+006
26950.0,2.20705e+008,2.20705e+008,1.26681e+006
27000.0,2.20436e+008,2.20436e+008,1.26748e+006
27050.0,2.20168e+008,2.20168e+008,1.26815e+006
27100.0,2.19899e+008,2.19899e+008,1.26882e+006
27150.0,2.19631e+008,2.19631e+008,1.26949e+006
27200.0,2.19362e+008,2.19362e+008,1.27016e+006
27250.0,2.19094e+008,2.19094e+008,1.27082e+006
27300.0,2.18825e+008,2.18825e+008,1.27149e+006
27350.0,2.18557e+008,2.18557e+008,1.27216e+006
27400.0,2.18288e+008,2.18288e+008,1.27283e+006
27450.0,2.18020e+008,2.18020e+008,1.27350e+006
27500.0,2.17752e+008,2.17752e+008,1.27417e+006
27550.0,2.17483e+008,2.17483e+008,1.27483e+006
27600.0,2.17215e+008,2.17215e+008,1.27550e+006
